Date,Open,High,Low,Close,Volume,Market Cap
1513576800,721.731994629,803.927978516,689.231018066,794.64501953,3249230080,76623897491.8
1513663200,793.901000977,881.94396972,785.34197998,826.82299804,4096549888,79743740361.5
1513749600,827.515991211,845.06201171,756.00402832,819.08599853,3969939968,79014430827.6
1513836000,820.236022949,880.543029785,792.689025879,821.06298828,3569060096,79221896340.7
1513922400,822.643005371,827.682983398,543.762023926,674.85998535,4977710080,65129109276.5
1514008800,681.315979004,763.895019531,679.731018066,719.38702392,2480339968,69441297649.2
1514095200,721.768981934,721.76898193,614.92199707,694.14801025,2300549888,67019237420.1
1514181600,698.869995117,782.520996094,698.869995117,765.83398437,2491760128,73955757348.5
1514268000,763.369995117,786.789978027,760.934997559,773.83599853,2201159936,74744613930.9
1514354400,774.969970703,789.252990723,738.4130249,762.84197998,2100029952,73698377069.6
1514440800,762.208007812,763.318969727,701.187011719,737.02301025,2389149952,71219054808.3
1514527200,740.388977051,770.117004395,729.60797119,753.59197998,2648969984,72835328712.1
1514613600,753.815002441,753.815002441,685.231018066,717.25701904,3187780096,69338470695.5
1514700000,712.211975098,760.348022461,710.119018555,756.73297119,2554269952,73170170967.3
1514786400,755.757019043,782.53002929,742.00402832,772.64099121,2595760128,74724233457.5
1514872800,772.3460083,914.83001709,772.346008301,884.44396972,5783349760,85552984076.5
1514959200,886,974.4710083,868.45098877,962.7199707,5093159936,93146829617
1515045600,961.713012695,1045.07995605,946.08599853,980.92199707,6502859776,94924308782.9
1515132000,975.75,1075.39001465,956.325012207,997.7199707,6683149824,96574936368
1515218400,995.153991699,1060.70996094,994.622009277,1041.6800537,4662219776,100852102738
1515304800,1043.01000977,1153.17004395,1043.01000977,1153.1700439,5569880064,111670667774
1515391200,1158.26000977,1266.93005371,1016.0499877,1148.5300293,8450970112,111244629093
1515477600,1146,1320.97998047,1145.48999023,1299.7399902,7965459968,125917925182
1515564000,1300.33996582,1417.38000488,1226.59997559,1255.8199462,9214950400,121689425203
1515650400,1268.08996582,1337.30004883,1135.17004395,1154.9300537,7235899904,111937424561
1515736800,1158.29003906,1296.04003906,1120.08996582,1273.1999511,5222300160,123426938667
1515823200,1270.4699707,1432.8800048,1270.4699707,1396.4200439,5746760192,135400735922
1515909600,1397.47998047,1400.56005859,1286.20996094,1366.7700195,4841630208,132554906162
1515996000,1365.20996094,1390.58996582,1290.59997559,1291.9200439,4781100032,125319766537
1516082400,1292.63000488,1292.6300048,875.54498291,1053.6899414,8405139968,102231295311
1516168800,1061.33996582,1090.2299804,780.921,1014.25,8545160192,98429091487.1
1516255200,1016.44000244,1100.31005859,967.75897216,1036.2800293,5938319872,100588318055
1516341600,1028.8199462,1093.2199707,1003.71002197,1039.0999755,4084450048,100883462786
1516428000,1044.94995117,1167.10998535,1044.94995117,1155.1500244,3975190016,112174461242
1516514400,1155.68005371,1155.6,1021.5,1049.579956,3378089984,101943726022
1516600800,1055.34997559,1089.09997559,930.741027832,1003.2600097,3810099968,97465684890.1
1516687200,1004.16998291,1023.22998047,920.539978027,986.2290039,3556699904,95831359552.3
1516773600,987.476989746,1062.43994141,965.80798339,1058.7800293,3944039936,102902843882
1516860000,1063.2199707,1104.66003418,1034.7399902,1056.0300293,4050190080,102657059605
1516946400,1052.69995117,1080.59997559,996.783996582,1055.1700439,3617690112,102595008990
1517032800,1055.75,1121.97998047,1042.11999512,1107.0699462,3002870016,107663911307
1517119200,1111.7800293,1257.7700195,1111.7800293,1246.0100097,5372329984,121201618306
1517205600,1246.69995117,1256.69995117,1169.07995605,1182.3599853,3715079936,115034583684
1517292000,1184.13000488,1184.6300048,1058.9699707,1071.1300048,4107859968,104234481555
1517378400,1071.08996582,1128.6,1034.5,1118.3100585,3757560064,108848638400
1517464800,1119.36999512,1161.34997559,984.818969727,1036.790039,5261680128,100935354837
1517551200,1035.77001953,1035.77001953,757.979980469,915.78497314,6713290240,89173962073.8
1517637600,919.210998535,991.942993164,847.690002441,964.01898193,3243480064,93890299032.2
1517724000,964.666992188,969.031982422,805.064025879,834.68200683,2997090048,81310521832.3
1517810400,834.958007812,856.645996094,644.59899902,697.95098877,4269530112,68005284182.7
1517896800,707.736999512,796.439025879,574.419006348,793.12200927,6518269952,77294507867.5
1517983200,790.427978516,851.200012207,723.432983398,757.06799316,3896179968,73796288509
1518069600,755.843017578,845.085998535,755.843017578,817.80700683,3708189952,79733609806.2
1518156000,818.47998046,884.00402832,788.833984375,883.86499023,2495820032,86191922699.4
1518242400,882.46697998,917.400024414,825.577026367,860.41497802,2930530048,83922989197.7
1518328800,859.288024902,859.288024902,788.221984863,814.65997314,2486650112,79476512346.9
1518415200,817.507995605,875.937011719,817.507995605,868.70697021,2243450112,84767037716.4
1518501600,869.293029785,870.708984375,828.836975098,845.2579956,2081170048,82496189205.9
1518588000,844.278991699,926.429016113,844.278991699,923.56097412,2818370048,90157005929.3
1518674400,923.728027344,951.947998047,911.111022949,936.97601318,2900100096,91485862822
1518760800,934.786010742,950.005004883,917.848022461,944.21002197,2369449984,92211437654.4
1518847200,944.74798584,976.5949707,940.75402832,974.11499023,2525720064,95151956513.1
1518933600,973.348999023,982.932983398,915.445007324,923.9210205,2567290112,90267805475.7
1519020000,921.668029785,957.776977539,921.554016113,943.86499023,2169019904,92235641556
1519106400,943.567016602,965.265014648,892.95397949,895.37097168,2545260032,87514997546.3
1519192800,894.135009766,912.375,830.562988281,849.9710083,2531729920,83095081059.4
1519279200,849.262023926,875.926025391,802.668029785,812.8449707,2150370048,79482140043.6
1519365600,811.585021973,886.317993164,794.791015625,864.18902587,2334820096,84520567484.8
1519452000,861.593017578,879.531005859,818.549987793,840.51501464,1926579968,82222377927.7
1519538400,839.458984375,853.145996094,822.380981445,844.80999755,1646960000,82659602549
1519624800,845.278015137,880.392028809,842.318969727,869.31500244,2044480000,85074973200
1519711200,870.364990234,896.25897216,867.096984863,878.26501464,2053980032,85968788107.6
1519797600,877.934020996,890.107971191,855.124023438,855.1989746,1963980032,83728564148.6
1519884000,856.012023926,880.30200195,851.91998291,872.2000122,1868519936,85410827047.4
1519970400,871.763977051,876.37799072,852.42199707,856.85302734,1894419968,83925690000.9
1520056800,856.710998535,868.453979492,855.206970215,857.22497558,1699369984,83979651072.5
1520143200,856.185974121,867.950012207,840.280029297,866.67797851,1697939968,84923240777.7
1520229600,866.8460083,869.91998291,853.520019531,853.68402099,1898489984,83667342991.5
1520316000,853.817016602,853.817016602,809.93103027,816.95098877,1943069952,80083929890.6
1520402400,816.270996094,825.60699462,726.54699707,752.83099365,2175419904,73813918307.4
1520488800,752.570007324,773.767028809,696.169006348,704.5960083,1891640064,69098851660.6
1520575200,702.197021484,729.156005859,648.106994629,728.91601562,2233019904,71498733754
1520661600,730.159973145,748.031005859,682.695007324,686.89001464,1532960000,67390487259
1520748000,685.312011719,735.83099365,668.12298584,723.33898925,1562680064,70981343638.5
1520830800,724.406005859,742.513977051,683.268005371,699.83099365,1764999936,68688764839.3
1520917200,698.153015137,713.734985352,682.349975586,690.82702636,1425959936,67819092120.8
1521003600,691.218994141,702.783996582,594.099975586,614.29101562,1810560000,60318025225.7
1521090000,614.838989258,620.616027832,579.505004883,611.30401611,1770460032,60037233577.4
1521176400,611.778015137,623.168029785,587.861999512,601.6660156,1417350016,59103031871.3
1521262800,601.677978516,609.151000977,549.096008301,552.77899169,1267810048,54312035488.8
1521349200,551.640014648,551.640014648,460.088012695,538.64398193,2685499904,52934184182
1521435600,546.625976562,558.09997558,519.12298584,556.72601318,2046790016,54722473140.3
1521522000,556.721984863,567.090026855,521.203979492,557.17498779,1833680000,54777982164.4
1521608400,559.099975586,589.606994629,550.572021484,561.73199462,1781270016,55237391316
1521694800,562.103027344,577.565979004,523.088989258,539.70202636,1523459968,53082150649.3
1521781200,539.864013672,540.48699951,512.12701416,539.61901855,1596349952,53084905905.7
1521867600,542.572021484,545.38201904,526.08001709,526.43902587,1300009984,51799123912
1521954000,522.70300293,535.820983887,515.658996582,524.2869873,1151170048,51598047955.4
1522040400,524.2869873,526.37902832,470.44000244,489.95098877,1638880000,48228842327.3
1522126800,489.589996338,491.459014893,449.971008301,450.11599731,1617939968,44316774117.9
1522213200,450.290985107,466.210998535,444.860992432,446.27899169,1514179968,43948072320.8
1522299600,448.075012207,450.812988281,385.812988281,385.96798706,1970230016,38016727208.9
1522386000,385.904998779,409.928985596,368.632995605,394.64498901,1878130048,38879465943.6
1522472400,395.003997803,418.46798706,392.95300293,396.45700073,1323920000,39066085341.7
1522558800,397.253997803,400.528015137,363.804992676,379.60699462,1256930048,37413407420.1
1522645200,379.69900512,395.17098999,377.592987061,386.42498779,1102259968,38093277842.3
1522731600,387.312011719,418.967987061,383.532012939,416.89300537,1363399936,41105280497.5
1522818000,416.484985352,417.471984863,375.309997559,380.54299926,1287730048,37528933631.2
1522904400,379.946990967,387.716003418,369.816009521,383.23199462,1210680064,37802008407.7
1522990800,382.730987549,385.195007324,366.911010742,370.2850036,967105984,36532478895.9
1523077200,370.380004883,393.058990479,369.936004639,385.3139953,951475008,38023057370.7
1523163600,385.743011475,402.589996338,385.601989746,400.507995605,948488000,39530560783.8
1523250000,400.85699462,429.25100708,390.609985352,398.52600097,1478390016,39343018191.4
1523336400,399.411010742,415.888000488,393.878997803,414.24301147,1196000000,40903130395.8
1523422800,415.023986816,430.540008545,412.471008301,430.54000854,1439040000,42521044920.4
1523509200,430.161010742,493.058013916,417.412994385,492.94100952,2519360000,48693844480.7
1523595600,493.160003662,526.469970703,482.658996582,492.734985352,2419249920,48683660481.3
1523682000,492.579986572,512.023986816,488.278991699,501.47799682,1519079936,49557725332.8
1523768400,502.880004883,531.702026367,502.880004883,531.70202636,1726089984,52555419462.3
1523854800,532.073974609,534.19,500.25,511.14700317,1758979968,50534185799.2
1523941200,511.144989014,518.031005859,502.563995361,502.89401245,1760359936,49728519115.3
1524027600,503.30899047,525.09197998,503.045013428,524.78900146,1762940032,51904227886.3
1524114000,524.038024902,567.888977051,523.262023926,567.88897705,2256869888,56178772001.3
1524200400,567.989013672,618.71502685,560.28302002,615.71801757,2849469952,60922818296.2
1524286800,616.00402832,621.888000488,578.549987793,605.39501953,2612460032,59913832193.8
1524373200,606.119018555,640.767028809,593.869018555,621.85998535,2426269952,61556034015.4
1524459600,621.198974609,646.700012207,621.034973145,642.54797363,2386830080,63617020167.4
1524546000,643.398010254,708.875,643.39801025,708.15802002,3581860096,70127342534.4
1524632400,707.062011719,707.062011719,600.211975098,615.41601562,4216140032,60955966710.5
1524718800,618.078979492,663.181030273,604.007019043,662.80902099,2984009984,65663946135.1
1524805200,662.109008789,684.867980957,647.031982422,647.03198242,2598129920,64114105428.4
1524891600,644.645996094,691.442016602,644.645996094,683.67797851,2496659968,67759208003.9
1524978000,683.911987305,697.755981445,670.513000488,688.88098144,2740559872,68289153705.5
1525064400,689.760986328,694.439025879,666.11700439,669.92401123,2853100032,66423712255.5
1525150800,670.463012695,674.403015137,637.539978027,673.61297607,2678960128,66803233984.4
1525237200,674.0750122,688.84197998,667.41998291,687.14898681,2822269952,68159979253.2
1525323600,686.591003418,784.341003418,686.591003418,779.54302978,4210939904,77340839220
1525410000,776.77502441,803.74597168,762.632019043,785.62402343,3533410048,77960306235.7
1525496400,784.58300781,827.45501709,784.236999512,816.11999511,3035040000,81003446782.8
1525582800,816.088012695,835.057006836,764.882995605,792.31097412,3105570048,78656662788.1
1525669200,793.338989258,795.757995605,710.177978516,753.72497558,4316120064,74841655792.1
1525755600,755.008972168,774.24902343,728.12902832,752.85699462,2920489984,74770813968.4
1525842000,752.901977539,759.528991699,718.471984863,752.27502441,2877870080,74728439729.9
1525928400,752.57897949,766.74798584,726.664001465,727.27697753,2748950016,72260117775
1526014800,727.013000488,736.976989746,669.825012207,679.58599853,3290080000,67535702572.4
1526101200,679.87701416,691.411010742,644.065979004,686.04797363,2668480000,68192028457.7
1526187600,687.174987793,741.312011719,675.31896972,733.49597168,2362500096,72923278118.9
1526274000,732.73297119,742.16998291,695.79199218,730.54901123,3005110016,72645181706.2
1526360400,731.143005371,739.052001953,700.99499511,708.87097168,2523069952,70504110200.8
1526446800,708.086975098,710.200012207,682.541015625,707.04998779,2476130048,70337446111
1526533200,708.718017578,718.833007812,668.833984375,672.65698242,2350619904,66929938612.3
1526619600,672.101989746,695.031005859,663.809020996,694.36700439,2305740032,69104455848.8
1526706000,695.07202148,715.57800293,686.791015625,696.53002929,2021549952,69334147807
1526792400,697.922973633,723.752990723,692.669006348,715.36901855,2156910080,71224213260.1
1526878800,717.192993164,719.278015137,692.494018555,699.22198486,2005170048,69631032596.2
1526965200,700.177978516,700.976013184,644.026000977,647.74102783,2230469888,64517663406.1
1527051600,646.66998291,651.635986328,572.952026367,583.58502197,2995429888,58139666822
1527138000,584.536010742,610.817993164,557.205993652,601.75500488,2791099904,59962094302
